Type,Model,Version,Lifecycle status,Deprecation date,Retirement date,Replacement model
Azure OpenAI,codex-mini,2025-05-16,Deprecated,,2026-11-15,
Azure OpenAI,codex-mini,2025-05-16,Deprecated,,2026-11-15,
Azure OpenAI,gpt-4.1,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4.1,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4.1-mini,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4.1-mini,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4.1-nano,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4.1-nano,2025-04-14,Deprecated,,2026-10-14,
Azure OpenAI,gpt-4o,2024-05-13,Deprecated,,2026-10-01,gpt-5.1
Azure OpenAI,gpt-4o,2024-08-06,Deprecated,,2026-10-01,gpt-5.1
Azure OpenAI,gpt-4o,2024-08-06-ev3,Deprecated,,2026-03-31,gpt-5.1
Azure OpenAI,gpt-4o,2024-08-06-ev3,Deprecated,,2026-03-31,gpt-5.1
Azure OpenAI,gpt-4o,2024-11-20,Deprecated,,2026-10-01,gpt-5.1
Azure OpenAI,gpt-4o,2024-11-20,Deprecated,,2026-10-01,gpt-5.1
Azure OpenAI,gpt-4o-mini,2024-07-18,Deprecated,,2026-10-01,gpt-4.1-mini
Azure OpenAI,gpt-4o-mini,2024-07-18,Deprecated,,2026-10-01,gpt-4.1-mini
Azure OpenAI,gpt-4o-mini-transcribe,2025-03-20,Generally Available,,2026-10-15,
Azure OpenAI,gpt-4o-mini-transcribe,2025-12-15,Generally Available,,2026-12-15,
Azure OpenAI,gpt-4o-mini-tts,2025-03-20,Preview,,2026-10-15,
Azure OpenAI,gpt-4o-mini-tts,2025-12-15,Generally Available,,2026-12-15,
Azure OpenAI,gpt-4o-transcribe,2025-03-20,Generally Available,,2026-10-15,
Azure OpenAI,gpt-4o-transcribe-diarize,2025-10-15,Generally Available,,2026-10-15,
Azure OpenAI,gpt-5,2025-08-07,Generally Available,,2027-02-06,
Azure OpenAI,gpt-5-chat,2025-08-07,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5-chat,2025-08-07,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5-chat,2025-10-03,Retired,,2026-05-13,gpt-chat-latest
Azure OpenAI,gpt-5-chat,2025-10-03,Retired,,2026-05-13,gpt-chat-latest
Azure OpenAI,gpt-5-codex,2025-09-15,Generally Available,,2027-03-17,
Azure OpenAI,gpt-5-mini,2025-08-07,Generally Available,,2027-02-06,
Azure OpenAI,gpt-5-nano,2025-08-07,Generally Available,,2027-02-06,
Azure OpenAI,gpt-5-pro,2025-10-06,Generally Available,,2027-04-07,
Azure OpenAI,gpt-5.1,2025-11-13,Generally Available,,2027-05-15,
Azure OpenAI,gpt-5.1-chat,2025-11-13,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.1-chat,2025-11-13,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.1-codex,2025-11-13,Generally Available,,2027-05-15,
Azure OpenAI,gpt-5.1-codex-max,2025-12-04,Generally Available,,2026-12-05,
Azure OpenAI,gpt-5.1-codex-mini,2025-11-13,Generally Available,,2027-05-15,
Azure OpenAI,gpt-5.2,2025-12-11,Generally Available,,2026-12-12,
Azure OpenAI,gpt-5.2-chat,2025-12-11,Retired,,2026-05-13,gpt-chat-latest
Azure OpenAI,gpt-5.2-chat,2025-12-11,Retired,,2026-05-13,gpt-chat-latest
Azure OpenAI,gpt-5.2-chat,2026-02-10,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.2-chat,2026-02-10,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.2-codex,2026-01-14,Generally Available,,2027-01-14,
Azure OpenAI,gpt-5.3-chat,2026-03-03,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.3-chat,2026-03-03,Retired,,2026-06-29,gpt-chat-latest
Azure OpenAI,gpt-5.3-codex,2026-02-24,Generally Available,,2027-02-25,
Azure OpenAI,gpt-5.4,2026-03-05,Generally Available,,2027-03-05,
Azure OpenAI,gpt-5.4-mini,2026-03-17,Generally Available,,2027-03-18,
Azure OpenAI,gpt-5.4-nano,2026-03-17,Generally Available,,2027-03-18,
Azure OpenAI,gpt-5.4-pro,2026-03-05,Generally Available,,2027-03-06,
Azure OpenAI,gpt-5.5,2026-04-24,Generally Available,,2027-04-23,
Azure OpenAI,gpt-5.6-luna,2026-07-09,Generally Available,,2027-07-09,
Azure OpenAI,gpt-5.6-sol,2026-07-09,Generally Available,,2027-07-09,
Azure OpenAI,gpt-5.6-terra,2026-07-09,Generally Available,,2027-07-09,
Azure OpenAI,gpt-audio,2025-08-28,Generally Available,,2027-02-28,
Azure OpenAI,gpt-audio-1.5,2026-02-23,Generally Available,,2027-02-23,
Azure OpenAI,gpt-audio-mini,2025-10-06,Generally Available,,2026-09-21,
Azure OpenAI,gpt-audio-mini,2025-12-15,Generally Available,,2026-12-15,
Azure OpenAI,gpt-chat-latest,2026-05-05,Preview,,2026-08-05,
Azure OpenAI,gpt-chat-latest,2026-05-28,Preview,,2026-08-28,
Azure OpenAI,gpt-chat-latest,2026-06-24,Preview,,2026-08-28,
Azure OpenAI,gpt-image-1,2025-04-15,Preview,,2026-10-23,
Azure OpenAI,gpt-image-1-mini,2025-10-06,Generally Available,,2027-04-07,
Azure OpenAI,gpt-image-1.5,2025-12-16,Generally Available,,2026-12-16,
Azure OpenAI,gpt-image-2,2026-04-21,Generally Available,,2027-04-21,
Azure OpenAI,gpt-realtime,2025-08-28,Generally Available,,2027-02-28,
Azure OpenAI,gpt-realtime-1.5,2026-02-23,Generally Available,,2027-02-23,
Azure OpenAI,gpt-realtime-2,2026-05-06,Preview,,2026-08-31,
Azure OpenAI,gpt-realtime-2.1,2026-07-07,Preview,,2027-06-25,
Azure OpenAI,gpt-realtime-2.1-mini,2026-07-07,Preview,,2027-06-25,
Azure OpenAI,gpt-realtime-mini,2025-10-06,Generally Available,,2026-07-23,
Azure OpenAI,gpt-realtime-mini,2025-12-15,Generally Available,,2026-12-15,
Azure OpenAI,o1,2024-12-17,Deprecated,,2026-09-16,
Azure OpenAI,o1-pro,2025-03-19,Generally Available,,2026-09-18,
Azure OpenAI,o3,2025-04-16,Generally Available,,2026-10-16,
Azure OpenAI,o3-deep-research,2025-06-26,Generally Available,,2026-12-26,
Azure OpenAI,o3-mini,2025-01-31,Deprecated,,2026-10-01,o4-mini
Azure OpenAI,o3-pro,2025-06-10,Generally Available,,2026-12-10,
Azure OpenAI,o4-mini,2025-04-16,Deprecated,,2026-10-16,
Azure OpenAI,sora-2,2025-10-06,Preview,,2026-07-15,sora-2 (2025-12-08)
Azure OpenAI,sora-2,2025-12-08,Preview,,2026-09-15,
Azure OpenAI,text-embedding-3-large,1,Generally Available,,2027-04-15,
Azure OpenAI,text-embedding-3-small,1,Generally Available,,2027-04-15,
Azure OpenAI,text-embedding-ada-002,1,Generally Available,,2027-04-15,
Azure OpenAI,text-embedding-ada-002,2,Generally Available,,2027-04-15,
Azure OpenAI,tts,001,Preview,,2026-12-15,
Azure OpenAI,tts-hd,001,Generally Available,,2026-12-15,
Azure OpenAI,whisper,001,Generally Available,,2026-12-15,
